PERMNO,date,COMNAM,RET
10087,21-07-1986,BEAUTICONTROL COSMETICS INC,-0.011765
10087,22-07-1986,BEAUTICONTROL COSMETICS INC,0.005952
10087,23-07-1986,BEAUTICONTROL COSMETICS INC,-0.005917
10087,24-07-1986,BEAUTICONTROL COSMETICS INC,0.011905
10087,25-07-1986,BEAUTICONTROL COSMETICS INC,0.011765
10087,28-07-1986,BEAUTICONTROL COSMETICS INC,-0.011628
10087,29-07-1986,BEAUTICONTROL COSMETICS INC,0
10087,30-07-1986,BEAUTICONTROL COSMETICS INC,-0.047059
10087,31-07-1986,BEAUTICONTROL COSMETICS INC,0
10087,1/8/1986,BEAUTICONTROL COSMETICS INC,0.024691
10087,4/8/1986,BEAUTICONTROL COSMETICS INC,-0.036145
10087,5/8/1986,BEAUTICONTROL COSMETICS INC,0.01875
10087,6/8/1986,BEAUTICONTROL COSMETICS INC,0.006135
10087,7/8/1986,BEAUTICONTROL COSMETICS INC,0
10087,8/8/1986,BEAUTICONTROL COSMETICS INC,0.02439
10087,11/8/1986,BEAUTICONTROL COSMETICS INC,0
10087,12/8/1986,BEAUTICONTROL COSMETICS INC,0.011905
10087,13-08-1986,BEAUTICONTROL COSMETICS INC,-0.011765
10087,14-08-1986,BEAUTICONTROL COSMETICS INC,0.011905
10087,15-08-1986,BEAUTICONTROL COSMETICS INC,-0.023529
10087,18-08-1986,BEAUTICONTROL COSMETICS INC,0.024096
10087,19-08-1986,BEAUTICONTROL COSMETICS INC,-0.011765
10087,20-08-1986,BEAUTICONTROL COSMETICS INC,-0.02381
10087,21-08-1986,BEAUTICONTROL COSMETICS INC,0
10087,22-08-1986,BEAUTICONTROL COSMETICS INC,0.012195
10087,25-08-1986,BEAUTICONTROL COSMETICS INC,0
10087,26-08-1986,BEAUTICONTROL COSMETICS INC,-0.024096
10087,27-08-1986,BEAUTICONTROL COSMETICS INC,-0.037037
10087,28-08-1986,BEAUTICONTROL COSMETICS INC,-0.128205
10087,29-08-1986,BEAUTICONTROL COSMETICS INC,0.044118
10087,2/9/1986,BEAUTICONTROL COSMETICS INC,-0.028169
