permno,Date_Announced
80311.0,1996-08-26
80439.0,2012-07-02
80444.0,2006-09-08
80443.0,2004-03-29
80443.0,1994-08-31
80443.0,1989-12-29
80549.0,2004-02-25
80556.0,1999-02-01
80650.0,1998-02-11
80612.0,2002-05-28
80649.0,1996-03-29
80756.0,2011-06-13
80756.0,2003-11-21
80773.0,2001-10-26
80761.0,1999-03-25
80752.0,2002-06-12
80804.0,2014-02-17
80846.0,2002-08-22
80949.0,1996-05-16
80913.0,2009-09-28
81021.0,2007-06-22
81005.0,2000-08-11
80972.0,1998-08-06
81086.0,2004-09-01
81086.0,1999-03-15
81110.0,2014-06-02
81110.0,2005-10-27
81097.0,2007-01-18
81109.0,2012-04-04
81119.0,2009-02-13
81099.0,1998-12-14
81161.0,1997-08-12
81161.0,1994-06-08
81146.0,2001-09-20
81136.0,1999-06-01
81136.0,1994-12-14
81177.0,1998-11-16
81212.0,2012-05-01
81264.0,1997-06-26
81279.0,1998-05-07
81475.0,2004-06-17
81505.0,1997-05-23
81492.0,1997-12-29
81631.0,1998-06-22
81595.0,2007-06-28
81685.0,1997-08-04
81679.0,1997-09-19
81760.0,2001-12-06
81715.0,2000-03-16
81720.0,1998-06-22
82202.0,1988-06-07
82202.0,1997-10-06
82157.0,2004-04-22
82286.0,1998-07-24
82267.0,2000-10-13
82472.0,1997-03-26
82472.0,1994-05-23
82510.0,1998-06-17
82524.0,2004-10-06
82524.0,1999-03-25
82524.0,2007-05-21
82524.0,2014-05-29
82566.0,2000-03-22
82584.0,2007-02-05
82597.0,1998-05-06
82568.0,1999-08-27
82558.0,2006-06-20
82548.0,1998-11-23
82663.0,2003-05-05
82703.0,2006-12-13
82703.0,2001-08-16
82703.0,2000-02-22
82703.0,1997-03-25
82696.0,1996-11-29
82699.0,2016-06-16
82832.0,1999-06-23
82807.0,1999-08-24
83180.0,1998-12-14
83161.0,2007-07-30
83175.0,1998-02-04
83150.0,2002-07-29
83164.0,1999-11-04
83271.0,2000-10-19
83271.0,1995-10-11
83347.0,2013-09-04
83274.0,1999-10-21
83283.0,2012-11-01
83304.0,2006-02-01
83314.0,1999-05-10
83241.0,2000-07-10
83374.0,2016-02-09
83374.0,2012-03-19
83423.0,1998-10-29
83367.0,1997-07-08
83403.0,1999-08-17
83354.0,1999-09-20
83429.0,2008-12-29
83526.0,2005-10-03
83480.0,1997-10-01
83524.0,1988-07-08
83479.0,2011-04-14
83570.0,1999-06-14
83581.0,2005-01-10
83674.0,2007-09-17
83657.0,2006-11-13
83681.0,2003-01-06
83694.0,2007-03-22
83766.0,1999-07-21
83761.0,2002-12-16
83761.0,2011-10-05
83737.0,2005-04-05
83789.0,2006-05-11
83780.0,1996-06-18
83908.0,2012-04-17
83908.0,1999-06-29
83857.0,1999-05-21
83860.0,2006-10-30
83963.0,2002-10-09
84121.0,2003-05-15
84121.0,2000-10-23
84069.0,2009-05-11
84046.0,2003-09-02
84106.0,1999-06-02
84132.0,1988-12-30
84107.0,2005-08-04
84107.0,1997-10-09
84142.0,2008-06-02
84142.0,2000-09-19
84075.0,2006-03-06
84220.0,1999-11-01
84247.0,2009-06-12
