"","Value","Std. Error","t value","Pr(>|t|)"
"intercept",-0.259780232303605,0.0546424149658171,-4.75418651364727,2.01895520213213e-06
"post",0.0739636001848195,0.0294029255400152,2.51551839915251,0.0119005509577521
"Venture",-0.349602763695703,0.0459181091132705,-7.6136141153658,2.88657986402541e-14
"S_P_500_Qtrly_Return",0.173054497455852,0.0854472676258654,2.02527830630675,0.0428640455618901
"S_P_500_Qtrly_Return_l3",0.128614547297723,0.0625046761291692,2.05767880521346,0.0396456117878845
"Fourthqtr",0.0239683447711708,0.0114420007211284,2.09476868209873,0.0362154646777766
"firmyr.1",0.0193400381240528,0.0512397762020601,0.377441892950252,0.70585286830302
"firmyr.2",-0.00329968755429841,0.0562033567322353,-0.0587097950398019,0.953184374818909
"firmyr.3",-0.0480426930889588,0.0584902668827852,-0.821379276405706,0.411448914672007
"firmyr.4",-0.0679926789499595,0.063559482412268,-1.06974878286353,0.284756994434989
"firmyr.5",-0.0463354567732866,0.0580994568577639,-0.797519620307685,0.425167348704278
"firmyr.6",-0.0561488110181267,0.0579736402750036,-0.968523121056042,0.33280548767667
"firmyr.7",-0.0767517436450239,0.0592823600947653,-1.2946809729291,0.195458778483514
"firmyr.8",-0.0725645094392331,0.0589277233066602,-1.23141545892766,0.218195099967494
"firmyr.9",-0.0769351563793152,0.0629689209580118,-1.22179569236411,0.221812329504511
"firmyr.10",-0.110319434851595,0.0657057599960053,-1.67899183965458,0.0931833911024622
"post:Venture",0.200444887660239,0.100541207571712,1.99365904290805,0.0462151553619461
"post:S_P_500_Qtrly_Return",-0.176005879428563,0.0976291637978178,-1.80280023490785,0.0714482570944952
"post:S_P_500_Qtrly_Return_l3",0.0226511491404046,0.086025486258764,0.263307423479946,0.792318805510892
"post:Fourthqtr",-0.0145281448522955,0.0181736376687009,-0.799407642935254,0.424072165054579
