"","Value","Std. Error","t value","Pr(>|t|)"
"intercept",502984.847373054,30522085.172355,0.016479373690649,0.986852270456079
"post",37945.7663565023,28075.2871763034,1.35157179758182,0.1765414617971
"Contribution_scale",189.343222102968,83614319.5444988,2.26448320257156e-06,0.999998193246845
"Distribution_scale",1313800.83759441,590196.329677481,2.22604033866553,0.0260326278994349
"S_P_500_Qtrly_Return",906278.486965686,355306.587748751,2.55069429674224,0.0107649259112006
"S_P_500_Qtrly_Return_l3",470267.40805217,476639.776548779,0.986630640558894,0.323846484218149
"Fourthqtr",-33951.7438806044,24675.9961677956,-1.37590165153756,0.168881438283684
"firmyr.1",-62075.0626796882,19259020.6284518,-0.00322316819101296,0.997428349564784
"firmyr.2",-273604.334104693,26447854.4702903,-0.0103450483823571,0.99174618943106
"firmyr.3",-408224.074098791,29221990.0386362,-0.013969756117193,0.988854375290312
"firmyr.4",-506815.533302044,30252850.7094337,-0.0167526537637659,0.986634259799068
"firmyr.5",-527434.633727434,30450267.9413766,-0.0173211820251585,0.986180716519469
"firmyr.6",-575126.269565532,30496544.843111,-0.0188587353919685,0.984954156494122
"firmyr.7",-551856.904560275,30516505.4592884,-0.0180838826810134,0.985572279302052
"firmyr.8",-555536.336264804,30515189.6716073,-0.0182052394968956,0.985475468817499
"firmyr.9",-544600.720859971,30510244.2484161,-0.0178497660138608,0.98575904277742
"firmyr.10",-544257.656157951,30508186.7009805,-0.0178397248414787,0.985767053007438
"post:Contribution_scale",687448.683314851,82142923.2837608,0.00836893375391664,0.993322793949364
"post:Distribution_scale",-94195.0034970898,666818.452801348,-0.141260343203417,0.887666987623155
"post:S_P_500_Qtrly_Return",-861963.784806713,330605.160739897,-2.60723027697944,0.00914070722225224
"post:S_P_500_Qtrly_Return_l3",-428971.416817576,469807.901077601,-0.913078336557648,0.361222313372674
"post:Fourthqtr",33333.8587649582,21818.9837611161,1.52774570667048,0.126605817283064
