"","R1"
"mod1Set2R1",0.139725691538717
"mod2Set2R1",0.14165338989839
"mod3Set2R1",0.124745580524919
"mod4Set2R1",0.132326583547158
"mod5Set2R1",0.156035951123735
"mod6Set2R1",0.14336991585957
"modDidR1",0.0140989099720396
"modJSSR1",0.0965145748926318
