"","Value","Std. Error","t value","Pr(>|t|)"
"intercept",-0.00597655873770538,0.0762405511423235,-0.0783908123453688,0.937518675332724
"post",-0.0425315069001208,0.0375425234894858,-1.13288886699457,0.257286791243385
"S_P_500_Qtrly_Return",-0.451412945304494,0.131153248340075,-3.44187392243613,0.000579950166264886
"S_P_500_Qtrly_Return_l3",-0.194206002242901,0.100559766010907,-1.93124954389649,0.0534790802990419
"Fourthqtr",0.0529055759260871,0.0190977690661415,2.77024901405283,0.00561118821799855
"firmyr.1",-0.000448385816954411,0.0678135621353196,-0.00661203751632561,0.994724521390856
"firmyr.2",0.033122780618512,0.073554031232151,0.450319038449028,0.652489709628807
"firmyr.3",0.0364101743296812,0.0744997780522289,0.48872862821357,0.625044039226528
"firmyr.4",0.0286099645781984,0.0767370735420976,0.372831061410012,0.709281708112437
"firmyr.5",0.0519036864051182,0.0780784934630068,0.664762908491695,0.506216747832408
"firmyr.6",0.115355526232383,0.0783327835523573,1.47263407479041,0.140879702051414
"firmyr.7",0.0999888475208028,0.0841077082799829,1.18881906980456,0.234537754827557
"firmyr.8",0.14014831003762,0.0822125237649343,1.70470755086339,0.0882785608320804
"firmyr.9",0.146156722290662,0.0836551890079537,1.7471327723229,0.0806435419171545
"firmyr.10",0.114146727301503,0.0823628278151051,1.38590102270104,0.165806557958735
"post:S_P_500_Qtrly_Return",0.260312299760858,0.157609311769133,1.65163020407173,0.098639858677289
"post:S_P_500_Qtrly_Return_l3",0.0329797980685967,0.125340654118506,0.26312131766454,0.792462235825189
"post:Fourthqtr",-0.0434613078395168,0.0226758252469645,-1.91663621350825,0.0553112755229139
