"","Value","Std. Error","t value","Pr(>|t|)"
"intercept",-0.0712597960044289,0.0690907162359508,-1.031394663229,0.302379545184214
"post",0.0449737492565631,0.0531415867672392,0.846300458688761,0.397404444089184
"SmallFund",0.226558087276675,0.0653177691772,3.46855212801354,0.000525370025049154
"MoreExperience",0.00383419029190406,0.0485421608009253,0.0789868071103867,0.937044622280098
"S_P_500_Qtrly_Return",-0.433984817824654,0.118220833149099,-3.67096734360952,0.000242832835929629
"S_P_500_Qtrly_Return_l3",-0.217490846128584,0.0818780058161471,-2.65627922859954,0.00791276153033826
"Fourthqtr",0.0398228673367772,0.0174579466269813,2.28107395375071,0.0225640123229138
"firmyr.1",0.0226790496625108,0.0551189882588878,0.411456203731276,0.680746449395557
"firmyr.2",0.0447332007942977,0.0597807573970458,0.748287622005075,0.454303453616628
"firmyr.3",0.0441242919868459,0.0624730024070914,0.706293763493546,0.480021146669582
"firmyr.4",0.0426982690393147,0.0650222393188025,0.656671770868519,0.511406384829121
"firmyr.5",0.0382349837932022,0.0655965817745532,0.582880734923213,0.559986111317307
"firmyr.6",0.0957118021552066,0.0647040464148969,1.47922436784681,0.139110366569542
"firmyr.7",0.0701586208360812,0.0686003802746021,1.02271475107341,0.306466303150312
"firmyr.8",0.07589847359303,0.0682671684598712,1.11178587460595,0.266255689147141
"firmyr.9",0.0998769942940109,0.0706404458418889,1.41387831154918,0.157427290982936
"firmyr.10",0.0917847991785806,0.0726825611145056,1.26281734945995,0.206682879056786
"post:SmallFund",-0.207943373813921,0.0916007734549284,-2.27010499989105,0.0232213961380823
"post:MoreExperience",-0.0211897230256423,0.0665191646250236,-0.318550648449831,0.750073619589225
"post:S_P_500_Qtrly_Return",0.219251353826377,0.146696581653177,1.49459074884741,0.135051341266606
"post:S_P_500_Qtrly_Return_l3",0.0612514568361901,0.118680493739634,0.516103825541592,0.605792767073197
"post:Fourthqtr",-0.0264778157059899,0.0214558361813226,-1.23406123547117,0.217207714755217
