PERMNO,date,COMNAM,PERMCO,CAR,Ret
59555,200401,HONDA MOTOR LTD,2172,-0.04689213893673421,-0.05293253194043837
59555,200402,HONDA MOTOR LTD,2172,0.020286026548901527,0.021784974871731932
59555,200403,HONDA MOTOR LTD,2172,0.0625393097294623,0.0637641588965054
59555,200404,HONDA MOTOR LTD,2172,-0.18051799478810035,-0.1383578785342828
59555,200405,HONDA MOTOR LTD,2172,0.07316480044730697,0.069488748519611
59555,200406,HONDA MOTOR LTD,2172,0.12024950394698364,0.11860580819731845
59555,200407,HONDA MOTOR LTD,2172,0.05842313191686824,-0.002058116469471682
59555,200408,HONDA MOTOR LTD,2172,0.035855665929997234,0.028834267985319097
59555,200409,HONDA MOTOR LTD,2172,-0.012486276541404395,-0.01959064976500415
59555,200410,HONDA MOTOR LTD,2172,-0.02743830641771308,-0.0028781378680569495
59555,200411,HONDA MOTOR LTD,2172,-0.02479106223037684,-0.014096895983992863
59555,200412,HONDA MOTOR LTD,2172,0.04876173011241802,0.08443305597482938
59555,200501,HONDA MOTOR LTD,2172,0.06666950142135986,0.007264549150448753
59555,200502,HONDA MOTOR LTD,2172,0.05103029586724461,0.022599692252426626
59555,200503,HONDA MOTOR LTD,2172,-0.02613060543954914,-0.06305801762394866
59555,200504,HONDA MOTOR LTD,2172,-0.007388428742116293,-0.03826277212533218
59555,200505,HONDA MOTOR LTD,2172,-0.014949674433966836,0.025400654552418096
59555,200506,HONDA MOTOR LTD,2172,0.01238596430179705,-0.004459930722093342
59555,200507,HONDA MOTOR LTD,2172,0.004803387101547695,0.04605786340445482
59555,200508,HONDA MOTOR LTD,2172,0.07940090849612756,0.04365892662032609
59555,200509,HONDA MOTOR LTD,2172,0.08888764376954168,0.059375842415906176
59555,200510,HONDA MOTOR LTD,2172,-0.010017059547144271,-0.02099383650423537
59555,200511,HONDA MOTOR LTD,2172,-0.026015341831526703,0.005379504484510192
59555,200512,HONDA MOTOR LTD,2172,0.04776712085731868,0.03548586265865894
59555,200601,HONDA MOTOR LTD,2172,-0.04039951131337887,-0.018113055426927007
59555,200602,HONDA MOTOR LTD,2172,0.021707413142184852,0.03216607994874624
59555,200603,HONDA MOTOR LTD,2172,0.044539382322807894,0.06066509158575799
59555,200604,HONDA MOTOR LTD,2172,0.16152427093945715,0.13486300563425319
59555,200605,HONDA MOTOR LTD,2172,-0.03571084854634844,-0.07014246058278985
59555,200606,HONDA MOTOR LTD,2172,-0.015172847661188402,-0.03732083905755362
59555,200607,HONDA MOTOR LTD,2172,0.07161074667028355,0.0348959903908933
59555,200608,HONDA MOTOR LTD,2172,-0.026339699239488177,0.027834014679410855
59555,200609,HONDA MOTOR LTD,2172,-0.006479176795613292,0.0002309733236081775
59555,200610,HONDA MOTOR LTD,2172,0.020765654101434532,0.04931383655292118
59555,200611,HONDA MOTOR LTD,2172,-0.02225138328463337,-0.0011326411959348952
59555,200612,HONDA MOTOR LTD,2172,0.1474172355747434,0.11724422385670678
59555,200701,HONDA MOTOR LTD,2172,-0.012426027068719495,-0.0053251534955520066
59555,200702,HONDA MOTOR LTD,2172,-0.06628659234428412,-0.057023364136041026
59555,200703,HONDA MOTOR LTD,2172,-0.045825836195896065,-0.058719749737784994
59555,200704,HONDA MOTOR LTD,2172,-0.027720267439811094,-0.012698283017683694
59555,200705,HONDA MOTOR LTD,2172,0.007536227815570698,0.025804189681532898
59555,200706,HONDA MOTOR LTD,2172,0.029302582565647144,0.03152192260291228
59555,200707,HONDA MOTOR LTD,2172,0.019000701316353587,-0.007467814847520972
59555,200708,HONDA MOTOR LTD,2172,-0.11411927854988174,-0.08999363769355068
59555,200709,HONDA MOTOR LTD,2172,0.033975080262923466,0.01932702401879049
59555,200710,HONDA MOTOR LTD,2172,0.1168039996248317,0.1151145896301101
59555,200711,HONDA MOTOR LTD,2172,-0.04422179466736282,-0.08412536371694755
59555,200712,HONDA MOTOR LTD,2172,0.013810533996284808,-0.03148241119149835
59555,200801,HONDA MOTOR LTD,2172,-0.035469094999332394,-0.04948440509890848
59555,200802,HONDA MOTOR LTD,2172,0.02191841059562388,-0.030256135321750897
59555,200803,HONDA MOTOR LTD,2172,-0.026557810898038058,-0.05325099891483589
59555,200804,HONDA MOTOR LTD,2172,0.0770750554576007,0.09717026695092076
59555,200805,HONDA MOTOR LTD,2172,0.026894781688244673,0.045560191514697916
59555,200806,HONDA MOTOR LTD,2172,0.11682423407464153,0.023789766122738053
59555,200807,HONDA MOTOR LTD,2172,-0.0613480676945128,-0.06181902232882444
59555,200808,HONDA MOTOR LTD,2172,-0.028584083076063006,0.017661120219593828
59555,200809,HONDA MOTOR LTD,2172,0.038009113881864,-0.07061239649561428
59555,200810,HONDA MOTOR LTD,2172,-0.046101719675365936,-0.19522444214947798
59555,200811,HONDA MOTOR LTD,2172,-0.04910438377248043,-0.11496089663948295
59555,200812,HONDA MOTOR LTD,2172,-0.10152065335990912,-0.028286312200515105
59555,200901,HONDA MOTOR LTD,2172,-0.003797700346085822,0.060018320405816256
59555,200902,HONDA MOTOR LTD,2172,0.05980578249797772,0.04191611575126572
59555,200903,HONDA MOTOR LTD,2172,-0.09199992843953467,0.006480953179689179
59555,200904,HONDA MOTOR LTD,2172,-0.05175828253566349,0.2038873347085151
59555,200905,HONDA MOTOR LTD,2172,-0.10392928519572583,-0.0010325328786520923
59555,200906,HONDA MOTOR LTD,2172,-0.032431047813058195,-0.02853528621282406
59555,200907,HONDA MOTOR LTD,2172,0.119979338066677,0.16034261303814165
