"Company","Sector","Resolution Summary","Issues","Filer","Status","Year","Memo"
"Ameren Corporation","Utilities","Set goals to reduce water use and thermal impacts","Climate Change; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","As You Sow","Withdrawn; Company will address",2013,"NOT"
"Occidental Petroleum Corporation","Oil and Gas","Political spending review","Climate Change; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","Green Century Capital Management","Vote: 30.6%",2011,"PDF"
"Home Depot, Inc.","Big Box/Retail","Stormwater management policy","Water Pollution; 
                    
                    
                        Biodiversity","David Brook","Vote: 4.4%",2013,"NOT"
"Marathon Oil Corporation","Oil and Gas","Executive compensation linked to ESG","Governance","Amalgamated Bank","Withdrawn; Company will address",2011,"NOT"
"RBC","Banking, Financial Services","Oil sands risk report","Climate Change; 
                    
                    
                        Oil Sands","Trillium Asset Management","Withdrawn; Company will address",2011,"NOT"
"Dominion Resources, Inc.","Electric Power","Mountaintop removal risk mitigation","Climate Change; 
                    
                    
                        Community Impacts; 
                    
                    
                        Mountaintop Removal","Mark Kresowik","Vote: 9.2%",2011,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Environmentally sustainable strategic plan","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables; 
                    
                    
                        Sustainability Reporting","Michael Crosby","Vote: 6.1%",2011,"NOT"
"Sunoco, Inc.","Oil and Gas","Accident risk mitigation","Worker Safety","AFL-CIO","Withdrawn; Company will address",2011,"NOT"
"Lowe's Companies Inc.","Big Box/Retail","Sustainable forestry report","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Biodiversity","Domini Impact Investments LLC","Withdrawn; Company will address",2012,"NOT"
"Duke Energy Corporation","Electric Power","Coal risk mitigation report","Climate Change; 
                    
                    
                        Coal","As You Sow","Vote: 8.5%",2011,"NOT"
"CR Bard Inc.","Healthcare, Pharmaceuticals","Sustainability report including ESG performance and GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 34.9%",2013,"PDF"
