"permco","permno1","permno2","permno3","fyear","Target_CUSIP","Target_Name","Acquiror_Name","Status","Acquiror_Primary_Ticker_Symbol","Target_Primary_Ticker_Symbol","Acquiror_Ticker_Symbol","Target_Ticker_Symbol","Acquiror__CUSIP","sdc_Deal_Number","year_acq_ann","month_acq_ann","yearmonth_acq_ann","yearmonth_acq_ann_complete","acq_complete","year_acq_ann_complete","month_acq_ann_complete","price_per_share","Target_Share_Price_4_Weeks_Prior","Target_Share_Price_1_Week_Prior","Target_Share_Price_1_Day_Prior","percentage_Shares_acq","perc_owned_after_transaction","percentage_shares_sought","Date_Announced","Date_Effective","Date_Withdrawn"
8046,10105,,,1986,"890531","Tops Markets LLC","Investor Group","Completed",,,,,"46145M",2584683020,2013,11,24167,24167,1,2013,11,,,,,66,66,66,11/14/2013,12/2/2013,
8046,10105,,,1986,"890531","Tops Markets LLC","Koninklijke Ahold NV","Completed","AHO",,"AHO~AHLN",,"500467",195073020,1991,2,23894,23894,1,1991,2,,,,,100,100,100,2/27/1991,3/27/1991,
8121,10178,,,1986,"380804","Golden Books Family Entertain","Investor Group","Completed",,"GBKF",,"GBKF","46145M",1205138020,2001,7,24019,24019,1,2001,7,,0.095,0.03,0.085,100,100,100,7/26/2001,8/20/2001,
8132,10194,,,1986,"834706","Somerset Group Inc","First Indiana Corp,Indiana","Completed","FINB","SOMR","FINB","SOMR","32054R",999153020,2000,4,24004,24004,1,2000,4,24.7,17.75,17.75,17.5,100,100,100,4/19/2000,9/29/2000,
8266,10343,,,1986,"456626","Infinity Broadcasting Corp","Westinghouse Electric Corp","Completed","WX","INF","WX","INF","960402",560746020,1996,6,23958,23958,1,1996,6,32.28,28,29.125,28.625,100,100,100,6/20/1996,12/31/1996,
8266,10343,,,1986,"456626","Infinity Broadcasting Corp","WCK Acquisition Corp","Completed",,"INFTA",,"INFTA","92923G",110064020,1988,6,23862,23862,1,1988,6,30.25,22.125,20,20.5,100,100,100,6/8/1988,12/26/1988,
8404,10484,,,1986,"961137","Roy F Weston Inc","Investor Group","Completed",,"WSTNA",,"WSTNA","46145M",1164061020,2001,3,24015,24015,1,2001,3,5.02,4.438,4.375,4.688,100,100,100,3/13/2001,6/4/2001,
8523,10623,,,1986,"336158","First Republic Bank,California","Investor Group","Completed",,,,,"46145M",2053268020,2009,10,24118,24118,1,2009,10,,,,,100,100,100,10/21/2009,7/1/2010,
8523,10623,,,1986,"336158","First Republic Bank,California","Merrill Lynch & Co Inc","Completed","MER","FRC","MER~MER~MER~MER~MER~8675","FRC","590188",1834668020,2007,1,24085,24085,1,2007,1,55,39.08,38.55,38.3,100,100,100,1/29/2007,9/21/2007,
8674,10777,75519,,1986,"31946M","First Citizens Bancshares,TN","First Volunteer Bank,TN","Completed",,"FIZN",,"FIZN","33747R",829791020,1998,8,23984,23984,1,1998,8,,,,,100,100,100,8/31/1998,8/31/1998,
8679,10784,,,1986,"820858","Shaw's Supermarkets Inc","J Sainsbury PLC","Completed","SBRY","SHAW","SBRY","SHAW","787103",22194020,1987,6,23850,23850,1,1987,6,30,25.25,26,28,72.21,100,72.2,6/19/1987,7/24/1987,
8679,10784,,,1986,"820858","Shaws Supermarkets Inc","Albertsons Inc","Completed","ABS",,"ABS",,"013104",1509828020,2004,3,24051,24051,1,2004,3,,,,,100,100,100,3/26/2004,4/30/2004,
8707,10821,,,1987,"809386","Scott & Stringfellow Financial","BB&T Corp.","Completed","BBK","SCOT","BBK","SCOT","054937",782831020,1998,8,23984,23984,1,1998,8,34.44,25.5,26.75,28.75,100,100,100,8/10/1998,3/26/1999,
8877,11005,,,1987,"181512","Dick Clark Productions Inc","Dalian Wanda Group Co Ltd","Completed",,,,,"23549V",3010544020,2016,11,24203,24203,1,2016,11,,0,0,0,100,100,100,11/4/2016,11/4/2016,
8877,11005,,,1987,"181512","dick clark productions inc","Investor Group","Completed",,"DCPI",,"DCPI","46145M",1270992020,2002,2,24026,24026,1,2002,2,14.5,9.7,9.7,10.93,100,100,100,2/14/2002,7/26/2002,
8877,11005,,,1987,"181512","Dick Clark Productions Inc","Investor Group","Completed",,,,,"46145M",2424677020,2012,9,24153,24153,1,2012,9,,,,,100,100,100,9/4/2012,9/28/2012,
8877,11005,,,1987,"181512","dick clark productions inc","Investor Group","Completed",,,,,"46145M",1879390020,2007,6,24090,24090,1,2007,6,,,,,100,100,100,6/19/2007,6/19/2007,
8887,11014,76552,,1987,"670664","NYCOR Inc(Fedders Corp)","Shareholders","Completed",,,,,"81949M",21831020,1986,5,23837,23837,1,1986,5,3.13,,,,100,100,100,5/28/1986,2/27/1987,
8887,11014,76552,,1987,"670664","NYCOR Inc","Fedders Corp","Completed","FJA","NYCO","FJA~FJC","NYCO","313135",514727020,1995,10,23950,23950,1,1995,10,6.25,2.375,2.25,2.125,100,100,100,10/31/1995,8/13/1996,
8932,11062,,,1987,"247904","Delta Woodside Industries Inc","RSI Corp","Completed","RSIC","DLW","RSIC","DLW","749722",126975020,1989,3,23871,23871,1,1989,3,9.09,11.875,12.25,12,100,100,100,3/2/1989,11/15/1989,
8998,11139,78848,,1987,"137694","Cannon Express Inc","Arizona Diversified Equity LLC","Completed",,"AB",,"AB","04052A",1399618020,2003,5,24041,24041,1,2003,5,,0.28,0.63,0.7,60,60,60,5/29/2003,5/29/2003,
9048,11198,88354,,1987,"888896","Todd-AO Corp","Liberty Media Corp","Completed","LMC.A","TODDA","LMG.B~LMC.A~LMC.B","TODDA","530718",887706020,1999,7,23995,23995,1,1999,7,14.8,6.063,6.625,8.688,59.01,59,59,7/30/1999,6/12/2000,
9082,11231,,,1987,"001676","AME Inc","AME Holding Co","Completed",,"AMEA",,"AMEA","00167R",112267020,1989,1,23869,23869,1,1989,1,12.5,8.125,8.25,8.25,100,100,100,1/26/1989,9/21/1989,
9117,11267,,,1987,"149205","The Cato Corp","The Cato Corp","Completed","CTR","CTR","CTR","CTR","149205",1417109020,2003,7,24043,24043,1,2003,7,18.5,21,21.01,20.6,88.16,88.2,88.2,7/22/2003,8/22/2003,
9135,11281,,,1987,"074730","Beauty Labs Inc","Robern Industries Inc","Completed","ROBE","LABB","ROBE","LABB","770293",267398020,1992,8,23912,23912,1,1992,8,,0.5,0.25,0.25,81.4,100,81.4,8/6/1992,1/19/1993,
9178,11329,,,1987,"103624","Boys Markets(American Breco)","Falley's Inc","Completed",,,,,"30648Q",121820020,1989,6,23874,23874,1,1989,6,,,,,100,100,100,6/5/1989,6/5/1989,
9178,11329,,,1987,"103624","Boys Markets Inc","American Breco Corp","Completed",,"BOYS",,"BOYS","02470W",20410020,1988,3,23859,23859,1,1988,3,12.5,7.5,6.875,8.75,100,100,100,3/4/1988,4/4/1988,
9178,11329,,,1987,"103624","Boys Markets Inc","Investor Group","Completed",,"BOYS",,"BOYS","46145M",14516020,1986,4,23836,23836,1,1986,4,,,,,100,100,100,4/28/1986,4/28/1986,
9180,11331,,,1987,"270332","Easco Hand Tools Inc","Danaher Corp","Completed","DHR","TOOL","DHR","TOOL","235851",147702020,1990,2,23882,23882,1,1990,2,6.31,4.625,5.875,5.625,100,100,100,2/20/1990,6/8/1990,
9221,11378,,,1987,"129603","Calgon Carbon Corp(Merck & Co)","Investor Group","Completed",,,,,"46145M",96072020,1985,8,23828,23828,1,1985,8,,,,,100,100,100,8/13/1985,8/13/1985,
9253,11416,,,1987,"269145","Essef Corp","Pentair Inc","Completed","PNR","ESSF","PNR","ESSF","709631",877296020,1999,4,23992,23992,1,1999,4,18.97,15.5,17.5,19.25,100,100,100,4/29/1999,8/10/1999,
9309,11478,,,1987,"085789","Berry Petroleum Co","LinnCo LLC","Completed","LNCO","BRY","LNCO","BRY","53648P",2498334020,2013,2,24158,24158,1,2013,2,55.79,34.89,40.66,38.59,100,100,100,2/21/2013,12/16/2013,
9415,11591,,,1988,"276369","Eastern Environmental Services","Waste Management Inc","Completed","WM","EESI","WM","EESI","94106L",784778020,1998,8,23984,23984,1,1998,8,33.75,34.375,32.5,32,100,100,100,8/17/1998,12/31/1998,
9437,11614,,,1987,"666499","Northland Cranberries Inc","Sun Capital Partners Inc","Completed",,"CBRYA",,"CBRYA","86665A",1257232020,2001,11,24023,24023,1,2001,11,,0.779,0.66,0.64,77.5,77.5,77.5,11/6/2001,11/6/2001,
9439,11617,81229,,1987,"87943M","Telemundo Group Inc","Investor Group","Completed",,"TLMD",,"TLMD","46145M",711531020,1997,11,23975,23975,1,1997,11,44.13,35.31,34.18,36.87,65.82,100,65.8,11/19/1997,8/12/1998,
9462,11641,,,1987,"009128","Air Methods Corp","Cell Technology Inc","Completed","CELL","ARF","CELL","ARF","150911",227620020,1991,10,23902,23902,1,1991,10,,0.875,1,1,100,100,100,10/14/1991,11/14/1991,
9567,11764,,,1987,"858154","Steel of West Virginia Inc","Roanoke Electric Steel Corp","Completed","RESC","SWVA","RESC","SWVA","769841",809480020,1998,11,23987,23987,1,1998,11,10.75,6,5.375,6.125,100,100,100,11/10/1998,12/16/1998,
9567,11764,,,1987,"858154","Steel of West Virginia Inc","Charterhouse Group Inc","Completed",,"SWVA",,"SWVA","16188Q",13820020,1987,6,23850,23850,1,1987,6,,0,0,0,100,100,100,6/29/1987,6/29/1987,
9696,11858,,,1988,"373697","Geraghty & Miller Inc","Heidemij Holding NV","Completed",,"GMGW",,"GMGW","42281K",364682020,1993,9,23925,23925,1,1993,9,10.24,8.75,10.125,10.75,100,100,100,9/10/1993,12/29/1993,
9754,10123,,,1989,"004527","Ackerley Group Inc","Clear Channel Commun Inc","Completed","CCU","AK","CCU","AK","184502",1227269020,2001,10,24022,24022,1,2001,10,13.61,13.3,10.1,11,100,100,100,10/8/2001,6/14/2002,
10045,12253,,,1988,"35803U","Fresh Brands Inc","Certified Grocers Midwest Inc","Completed",,"FRSH",,"FRSH","15623L",1717583020,2005,12,24072,24072,1,2005,12,7.05,6.8,6,5.95,100,100,100,12/5/2005,2/27/2006,
10153,75490,,,1989,"83087Q","SkyTel Communications Inc","MCI WorldCom","Completed","WCOM","SKYT","WCOM","SKYT","55268B",886578020,1999,5,23993,23993,1,1999,5,19.97,17.125,20.063,19.313,100,100,100,5/28/1999,10/1/1999,
10164,75488,,,1989,"818063","Sevenson Environmental Svcs","SCC Contracting Inc","Completed",,"SEVN",,"SEVN","78436Y",1282806020,2002,2,24026,24026,1,2002,2,16,12.7,12.7,12.7,100,100,100,2/20/2002,3/22/2002,
10517,76099,,,1990,"247131","Delphi Financial Group Inc","Tokio Marine & Nichido Fire","Completed",,"DFG",,"DFG","88952Z",2373277020,2011,12,24144,24144,1,2011,12,43.88,25.34,24.85,25.43,100,100,100,12/21/2011,5/15/2012,
10535,76391,,,1990,"584690","Medicis Pharmaceutical Corp","Valeant Pharmaceuticals Intl","Completed","VRX","MRX","VRX~VRX","MRX","91911K",2335721020,2012,9,24153,24153,1,2012,9,44,39.16,36.79,32.09,100,100,100,9/3/2012,12/11/2012,
10579,76448,,,1990,"88554L","Three Five Systems Inc","Electronic Research Associates","Completed","ERAI",,"ERAI",,"285821",126535020,1989,8,23876,23876,1,1989,8,,,,,100,100,100,8/25/1989,5/1/1990,
10604,76171,,,1990,"404119","HCA Inc","Hercules Acquisition Corp","Completed",,"HCA",,"HCA","42712Q",1778715020,2006,7,24079,24079,1,2006,7,51,43.07,43.53,43.67,100,100,100,7/24/2006,11/17/2006,
10625,76195,,,1990,"482686","K-Swiss Inc","Eland World Ltd","Completed",,"KSWS",,"KSWS","27085A",2487771020,2013,1,24157,24157,1,2013,1,4.75,3.26,3.18,3.23,100,100,100,1/16/2013,4/30/2013,
10625,76195,,,1990,"482686","K-Swiss Inc","324 Corp","Completed",,"KSWS",,"KSWS","88557T",168179020,1986,12,23844,23844,1,1986,12,,0,0,0,100,100,100,12/30/1986,12/30/1986,
10635,76200,,,1990,"62938T","NSC Corp(Waste Management)","NSC Holdings Inc","Completed",,"NSCC",,"NSCC","62960Y",852428020,1999,2,23990,23990,1,1999,2,1.25,0.875,0.938,0.938,100,100,100,2/15/1999,6/22/1999,
10669,76217,,,1990,"961840","The Wet Seal Inc","Clinton Group Inc","Completed",,"WTSLA",,"WTSLA","18757A",2436130020,2014,11,24179,24179,1,2014,11,,3.07,3.01,2.96,,,100,11/19/2014,11/19/2014,
10669,76217,,,1990,"961840","The Wet Seal Inc","Versa Capital Management LLC","Completed",,,,,"92521Q",2719545020,2015,3,24183,24183,1,2015,3,,,,,100,100,100,3/16/2015,4/15/2015,
10828,76565,,,1991,"421933","Health Management Assoc Inc","Community Health Systems Inc","Completed","CYH","HMA","CYH","HMA","203668",2550721020,2013,7,24163,24163,1,2013,7,13.78,10.97,13.6,13.93,100,100,100,7/30/2013,1/27/2014,
10833,76879,,,1990,"00754E","Advanced Photonix Inc","Luna Innovations Inc","Completed","LUNA","API","LUNA","API","550351",2721298020,2015,2,24182,24182,1,2015,2,0.53,0.31,0.31,0.333,100,100,100,2/2/2015,5/8/2015,
10837,76982,,,1991,"161157","Charter Bancshares Inc","NationsBank Corp,Charlotte,NC","Completed","NB","SAIL","NB","SAIL","638585",532962020,1996,1,23953,23953,1,1996,1,25.8,21,22.25,25.5,58,100,58,1/26/1996,5/31/1996,
10874,76880,,,1990,"03759P","Aphton Corp","Receptor BioLogix Inc","Completed",,,,,"75596K",1763121020,2006,7,24079,24079,1,2006,7,,0.155,0.14,0.14,100,100,100,7/28/2006,7/31/2006,
10900,76623,,,1990,"690113","Outlook Group Corp","Vista Group Holdings LLC","Completed",,"OUTL",,"OUTL","92739C",1744392020,2006,3,24075,24075,1,2006,3,13.5,10.5,11.05,11.42,100,100,100,3/20/2006,7/26/2006,
10914,76651,,,1991,"316866","Filene's Basement Corp","FB II Acquisition Corp","Completed",,,,,"30124Q",2066345020,2009,4,24112,24112,1,2009,4,,,,,100,100,100,4/22/2009,4/22/2009,
10914,76651,,,1991,"316866","Filene's Basement Corp","Value City Department Stores","Completed","VCD","BSMT","VCD","BSMT","920387",973682020,2000,2,24002,24002,1,2000,2,,0.125,0.313,0.28,100,100,100,2/3/2000,3/21/2000,
10965,76693,,,1991,"449295","ICOS Corp","Eli Lilly & Co","Completed","LLY","ICOS","LLY","ICOS","532457",1802380020,2006,10,24082,24082,1,2006,10,34,24.19,26.91,27.08,100,100,100,10/16/2006,1/29/2007,
11000,76717,,,1991,"92227P","Varsity Brands Inc","Investor Group","Completed",,"VBR",,"VBR","46145M",1387589020,2003,4,24040,24040,1,2003,4,6.57,4.62,4.71,4.7,100,100,100,4/22/2003,9/24/2003,
11000,76717,,,1991,"92227P","Varsity Brands Inc","Herff Jones Inc","Completed",,,,,"3A8996",2320196020,2011,6,24138,24138,1,2011,6,,,,,100,100,100,6/15/2011,8/1/2011,
11035,76739,,,1991,"537528","Little Switzerland Inc","NXP Corp","Completed",,,,,"62789N",1895280020,2007,8,24092,24092,1,2007,8,,,,,100,100,100,8/2/2007,9/18/2007,
11058,76799,,,1991,"629407","NTL Inc","Bondholders","Completed",,"NLI",,"NLI~NTLI","09788F",1289100020,2002,4,24028,24028,1,2002,4,,0,0,0,86.5,86.5,86.5,4/16/2002,1/10/2003,
11118,76844,,,1991,"436451","HoloPak Technologies Inc","Foilmark Inc","Completed","FLMK","HOLO","FLMK","HOLO","344185",812058020,1998,11,23987,23987,1,1998,11,3.64,1.781,2.188,2.625,100,100,100,11/18/1998,4/23/1999,
11126,76852,,,1991,"607419","Mobley Environmental Services","American Ecology Corp","Completed","ECOL","MBLYA","ECOL","MBLYA","025533",404330020,1994,5,23933,23933,1,1994,5,,2.375,2.438,2.375,100,100,100,5/11/1994,12/31/1994,
11132,77038,,,1991,"695542","PageNet","Arch Communications Group Inc","Completed","APGR","PAGE","APGR","PAGE","039381",940238020,1999,11,23999,23999,1,1999,11,0.85,0.75,1.094,0.969,100,100,100,11/8/1999,11/10/2000,
11140,77028,,,1992,"385269","Grand Casinos Inc","Hilton Hotels Corp","Completed","HLT","GRND","HLT","GRND","432848",770372020,1998,6,23982,23982,1,1998,6,18.82,17.18,17.5,18.56,100,100,100,6/29/1998,12/31/1998,
11142,77045,,,1991,"860370","Stewart Enterprises Inc","Service Corp International","Completed","SCI","STEI","SCI","STEI","817565",2525556020,2013,5,24161,24161,1,2013,5,13.25,8.54,9.01,9.74,100,100,100,5/29/2013,12/23/2013,
11177,77108,,,1991,"571490","Marquette Medical Systems Inc","GE Medical Systems","Completed",,"MARQA",,"MARQA","36963Y",794344020,1998,9,23985,23985,1,1998,9,47.02,25.62,23.12,24,100,100,100,9/18/1998,11/20/1998,
11198,77207,,,1991,"104576","Bradley Pharmaceuticals Inc","Nycomed US Inc","Completed",,"BDY",,"BDY","67224Z",1919616020,2007,10,24094,24094,1,2007,10,20,18.36,16.47,16,100,100,100,10/30/2007,2/21/2008,
11247,77173,,,1992,"928497","Vitesse Semiconductor Corp","Microsemi Corp","Completed","MSCC","VTSS","MSCC","VTSS~VTSS","595137",2734436020,2015,3,24183,24183,1,2015,3,,4.2,3.71,3.89,100,100,100,3/18/2015,4/28/2015,
11313,77284,,,1991,"65332V","Nextel Communications Inc","Sprint Nextel Corp","Completed","FON","NXTL","FON","NXTL","852061",1623687020,2004,12,24060,24060,1,2004,12,32.63,27.43,29.65,27.97,100,100,100,12/15/2004,8/12/2005,
11333,77328,,,1992,"320226","First Finl Corp of Wstn MD","Keystone Finl,Harrisburg,PA","Completed","KSTN","FFWN","KSTN","FFWN","493482",578810020,1996,11,23963,23963,1,1996,11,34.35,21.5,22.875,24.5,100,100,100,11/26/1996,5/30/1997,
11353,77347,85450,,1992,"45670G","infoGroup Inc","CCMP Capital Advisors LLC","Completed",,"IUSA",,"IUSA","12980J",2162144020,2010,3,24123,24123,1,2010,3,8,7.48,8.32,8.16,100,100,100,3/8/2010,7/1/2010,
11366,77361,,,1992,"15116N","Cellular Commun of Puerto Rico","Cingular Wireless LLC","Completed",,,,,"17248R",1268416020,2002,2,24026,24026,1,2002,2,,,,,50,50,50,2/1/2002,2/1/2002,
11366,77361,,,1992,"15116N","Cellular Commun of Puerto Rico","Investor Group","Completed",,"CLRP",,"CLRP","46145M",877678020,1999,5,23993,23993,1,1999,5,29.5,27.5,26.125,23.75,100,100,100,5/3/1999,8/24/1999,
11392,77398,,,1992,"00753B","Advanced Machine Vision Corp","Key Technology Inc","Completed","KTEC","AMVC","KTEC","AMVC","493143",977456020,2000,2,24002,24002,1,2000,2,1.64,1.344,1.625,1.688,100,100,100,2/15/2000,7/12/2000,
11397,77405,,,1992,"542307","Lone Star Steakhouse,Saloon","Lone Star Funds","Completed",,"STAR",,"STAR","54226Y",1785907020,2006,8,24080,24080,1,2006,8,27.35,23.07,23.33,23.55,100,100,100,8/18/2006,12/13/2006,
11400,77409,,,1992,"05635V","Back Bay Restaurants Group Inc","SRC Holdings","Completed",,"PAPA",,"PAPA","78533Y",816220020,1998,12,23988,23988,1,1998,12,10.25,8,9,9.125,100,100,100,12/3/1998,4/5/1999,
11471,77555,77554,,1992,"759594","Remington Oil & Gas Corp","Cal Dive International Inc","Completed","CDIS","REM","CDIS","ROIL~REM","127914",1729606020,2006,1,24073,24073,1,2006,1,,37.78,37.22,37.96,100,100,100,1/22/2006,7/3/2006,
11475,77523,,,1992,"981809","Worthington Foods Inc","Kellogg Co","Completed","K","WFDS","K","WFDS","487836",929032020,1999,10,23998,23998,1,1999,10,24,12.75,11.938,14.375,100,100,100,10/1/1999,11/29/1999,
11483,77532,,,1992,"987767","Younkers Inc","Proffitt's Inc","Completed","PRFT","YONK","PRFT","YONK","742925",503604020,1995,10,23950,23950,1,1995,10,28.18,19,15,15.75,100,100,100,10/23/1995,2/5/1996,
11483,77532,,,1992,"987767","Younkers Inc","Investors","Completed",,"YONK",,"YONK","46145Z",119865020,1992,4,23908,23908,1,1992,4,12.5,0,0,0,100,100,100,4/22/1992,4/22/1992,
11489,77539,82838,,1992,"740906","Premiere Radio Networks Inc","Jacor Communications Inc","Completed","JCOR",,"JCOR",,"469858",655150020,1997,4,23968,23968,1,1997,4,18.78,15.75,15.75,16,100,100,100,4/8/1997,6/12/1997,
11514,77596,,,1992,"070107","Basin Exploration Inc","Stone Energy Corp","Completed","SGY","BSNX","SGY","BSNX","861642",1060677020,2000,10,24010,24010,1,2000,10,21.52,20.75,19.75,19.563,100,100,100,10/30/2000,2/1/2001,
11643,77850,,,1992,"740329","Precision Systems Inc","Anshutz Digital Media Inc","Completed",,"PSYS",,"PSYS","03638X",855940020,1999,2,23990,23990,1,1999,2,1,2.625,2.375,2.063,100,100,100,2/17/1999,7/9/1999,
11643,77850,,,1992,"740329","Precision Systems Inc","Shareholders","Completed",,,,,"81949M",241436020,1990,6,23886,23886,1,1990,6,,,,,100,100,100,6/29/1990,8/3/1992,
11669,77851,,,1993,"45812K","Integrated Process Equipment","Broad Inc","Completed","BRO","IPEC","BRO","IPEC","111230",124551020,1989,11,23879,23879,1,1989,11,,0,0,0,100,100,100,11/2/1989,1/18/1990,
11669,77851,,,1993,"45812K","Integrated Process Equipment","SpeedFam International Inc","Completed","SFAM","IPEC","SFAM","IPEC","847706",812517020,1998,11,23987,23987,1,1998,11,10.56,8.875,10.625,10.875,100,100,100,11/20/1998,4/6/1999,
11734,77978,80950,,1992,"848922","Sportmart Inc","Gart Sports Co","Completed","GRTS","SPMT","GRTS","SPMT","366630",699678020,1997,9,23973,23973,1,1997,9,2.31,2.5,2.938,3.469,100,100,100,9/29/1997,1/9/1998,
11748,77987,,,1992,"449854","IQ Software Corp","Information Advantage Software","Completed","IACO","IQSW","IACO","IQSW","45669P",770895020,1998,6,23982,23982,1,1998,6,,11,10.875,11.75,100,100,100,6/29/1998,9/24/1998,
11757,78001,,,1992,"488360","KEMET Corp","K Financing LLC","Completed",,"KEME",,"KEME","48710C",2071813020,2009,5,24113,24113,1,2009,5,0.5,0.37,0.84,0.69,49.96,50,50,5/5/2009,6/30/2009,
11811,78082,90909,,1992,"849163","Sport Chalet Inc","Vestis Retail Group LLC","Completed",,"SPCH",,"SPCH","1C5487",2651932020,2014,6,24174,24174,1,2014,6,1.2,1.02,1.025,0.98,100,100,100,6/30/2014,8/18/2014,
11836,78180,,,1992,"59501B","Micro Warehouse Inc","Investor Group","Completed",,"MWHS",,"MWHS","46145M",954787020,1999,12,24000,24000,1,1999,12,19,12.875,12.563,15.25,100,100,100,12/21/1999,2/3/2000,
11860,78139,,,1992,"205638","Compuware Corp","Thoma Bravo LLC","Completed",,"CPWR",,"CPWR","88774R",2501560020,2014,9,24177,24177,1,2014,9,10.75,10.76,11.74,11.63,100,100,100,9/2/2014,12/15/2014,
11911,78838,,,1993,"71940Q","Physicians Health Services Inc","Foundation Health Systems Inc","Completed","FHS","PHSV","FHS","PHSV","350404",662010020,1997,5,23969,23969,1,1997,5,28.25,18.625,22.25,22.875,100,100,100,5/6/1997,1/5/1998,
11979,78920,,,1993,"938864","Washington Homes Inc","Hovnanian Enterprises Inc","Completed","HOVNU","WHI","HOVNU~HOVNU","WHI","442487",1041237020,2000,8,24008,24008,1,2000,8,10.08,6.5,7.25,7.125,100,100,100,8/28/2000,1/24/2001,
12042,78956,,,1993,"114537","Brookstone Inc","OSIM Brookstone Holdings LP","Completed",,"BKST",,"BKST","66959E",1657998020,2005,4,24064,24064,1,2005,4,20,14.21,16.42,15.6,100,100,100,4/15/2005,10/4/2005,
12073,79074,,,1993,"05544W","BHC Financial Inc","Fiserv Inc","Completed","FISV","BHCF","FISV","BHCF","337738",646685020,1997,3,23967,23967,1,1997,3,33.5,18.375,20.938,20,100,100,100,3/3/1997,5/30/1997,
12125,79163,,,1993,"001693","AMFM Inc","Clear Channel Commun Inc","Completed","CCU","AFM","CCU","AFM","184502",929277020,1999,10,23998,23998,1,1999,10,75.55,49.5,53.688,63.875,100,100,100,10/4/1999,8/30/2000,
12145,79179,81628,,1993,"55272T","MFS Communications Co Inc","WorldCom Inc","Completed","WCOM","MFST","WCOM","MFST","98155K",578956020,1996,8,23960,23960,1,1996,8,55.39,29.625,34.625,34.875,100,100,100,8/26/1996,12/31/1996,
12145,79179,81628,,1993,"55272T","MFS Commun(Peter Kiewit Sons)","Shareholders","Completed",,"MFST",,"MFST","81949M",489990020,1995,3,23943,23943,1,1995,3,43.35,33.5,34.25,35.625,70.69,70.7,70.7,3/31/1995,10/2/1995,
12173,79292,,,1993,"666903","Northstar Health Services Inc","Benchmark Medical Inc","Completed",,"NSTR",,"NSTR","08164P",989588020,2000,3,24003,24003,1,2000,3,,11.125,11.25,11.25,100,100,100,3/15/2000,9/22/2000,
12182,79301,,,1993,"029362","American Safety Razor Co","Energizer Holdings Inc","Completed","ENR",,"ENR",,"29266R",2213549020,2010,10,24130,24130,1,2010,10,,,,,100,100,100,10/8/2010,11/23/2010,
12182,79301,,,1993,"029362","American Safety Razor Co","Lion Capital LLP","Completed",,,,,"42908A",1772247020,2006,6,24078,24078,1,2006,6,,,,,,,100,6/27/2006,7/31/2006,
12182,79301,,,1993,"029362","American Safety Razor Co","JW Childs Equity Partners LP","Completed",,"RAZR",,"RAZR","46640K",852387020,1999,2,23990,23990,1,1999,2,14.2,12,11,10.625,100,100,100,2/9/1999,7/1/1999,
12182,79301,,,1993,"029362","American Safety Razor Co","ASR Acquisition Corp","Completed",,,,,"00206G",120042020,1989,4,23872,23872,1,1989,4,,,,,100,100,100,4/28/1989,4/28/1989,
12211,79305,,,1993,"761648","Rexall Sundown Inc","NBTY Inc","Completed","NTY",,"NTY",,"628782",1343694020,2003,6,24042,24042,1,2003,6,,,,,100,100,100,6/10/2003,7/25/2003,
12211,79305,,,1993,"761648","Rexall Sundown Inc","Koninklijke Numico NV","Completed","NUM","RXSD","NUM","RXSD","67117T",1001974020,2000,5,24005,24005,1,2000,5,24,15.938,17.063,19.25,100,100,100,5/1/2000,7/10/2000,
12224,79296,,,1993,"724514","Pittencrieff Communications","Nextel Communications Inc","Completed","NXTL","PITC","NXTL","PITC","65332V",590648020,1996,10,23962,23962,1,1996,10,5.65,4.375,5,5.25,100,100,100,10/3/1996,11/12/1997,
12227,79310,,,1993,"803436","Saratoga Beverage Group Inc","Investor Group","Completed",,,,,"46145M",1259211020,2002,1,24025,24025,1,2002,1,,,,,100,100,100,1/3/2002,1/3/2002,
12227,79310,,,1993,"803436","Saratoga Beverage Group Inc","North Castle Partners LLC","Completed",,"TOGA",,"TOGA","65835Q",959210020,2000,1,24001,24001,1,2000,1,6,3.4375,4.84375,4.8125,100,100,100,1/6/2000,6/21/2000,
12263,79409,,,1993,"710847","People's Choice TV Corp","Sprint Nextel Corp","Completed","FON","PCTV","FON","PCTV","852061",870850020,1999,4,23992,23992,1,1999,4,10,0,0,0,87.01,100,87,4/12/1999,9/28/1999,
12268,79374,,,1993,"151016","Celestial Seasonings Inc","Hain Food Group Inc","Completed","HAIN","CTEA","HAIN","CTEA","405219",983003020,2000,3,24003,24003,1,2000,3,40.95,25.125,26,35.5,100,100,100,3/6/2000,5/31/2000,
12268,79374,,,1993,"151016","Celestial Seasonings(Kraft)","Celestial Tea Corp","Completed",,,,,"15104C",104782020,1988,9,23865,23865,1,1988,9,,,,,100,100,100,9/12/1988,11/2/1988,
12297,79428,,,1993,"913247","UnitedGlobalCom Inc","Liberty Media Corp","Completed","LMC.A","UCOMA","LMG.B~LMC.A~LMC.B","UCOMA","530718",1159412020,2001,2,24014,24014,1,2001,2,,40.25,44.375,43.563,76,86.5,76,2/23/2001,1/30/2002,
12299,79422,,,1993,"854727","Stant Corp(Bessemer Capital Pa","Tomkins PLC","Completed","TOMK","STNT","TOMK~TKS","STNT","890030",655530020,1997,4,23968,23968,1,1997,4,21.5,14.375,14.5,16.625,100,100,100,4/9/1997,5/13/1997,
