"permco","permno1","permno2","permno3","fyear","Target_CUSIP","Target_Name","Acquiror_Name","Status","Acquiror_Primary_Ticker_Symbol","Target_Primary_Ticker_Symbol","Acquiror_Ticker_Symbol","Target_Ticker_Symbol","Acquiror__CUSIP","sdc_Deal_Number","year_acq_ann","month_acq_ann","yearmonth_acq_ann","yearmonth_acq_ann_complete","acq_complete","year_acq_ann_complete","month_acq_ann_complete","price_per_share","Target_Share_Price_4_Weeks_Prior","Target_Share_Price_1_Week_Prior","Target_Share_Price_1_Day_Prior","percentage_Shares_acq","perc_owned_after_transaction","percentage_shares_sought","Date_Announced","Date_Effective","Date_Withdrawn"
2466,46739,46747,,1979,"480206","Jones Intercable Inc","Comcast Corp","Completed","CMCSK","JOIN","CMCSK","JOIN","200300",911935020,1999,8,23996,23996,1,1999,8,71.4,50.875,43.75,44.625,61.73,100,61.7,8/9/1999,3/2/2000,
2559,47969,,,1973,"498782","Knape & Vogt Manufacturing Co","Wind Point Partners","Completed",,"KNAP",,"KNAP","97315T",1734933020,2006,2,24074,24074,1,2006,2,19,14.1,16,16.07,100,100,100,2/10/2006,7/28/2006,
2566,61137,,,1973,"499158","Knogo Corp","Sensormatic Electronics Corp","Completed","SRM","KNO","SRM","KNO","817265",422163020,1994,7,23935,23935,1,1994,7,17.64,14,16.5,15.875,100,100,100,7/27/1994,1/4/1995,
2723,49729,,,1972,"016090","Aliant Communications Inc","Alltel Corp","Completed","AT","ALNT","AT~ALTEO","ALNT","020039",823762020,1998,12,23988,23988,1,1998,12,39.13,30,31,30.87,100,100,100,12/18/1998,7/2/1999,
2732,50287,,,1982,"550553","Luther Medical Products Inc","Becton Dickinson & Co","Completed","BDX","LUTH","BDX","LUTH","075887",802330020,1998,10,23986,23986,1,1998,10,4.7,2,2.313,2.875,100,100,100,10/14/1998,1/26/1999,
2777,51693,76670,,1972,"571783","Marsh Supermarkets Inc","Sun Capital Partners Inc","Completed",,"MARSA",,"MARSA~MARSG~MARSB","86665A",1757344020,2006,4,24076,24076,1,2006,4,11.13,8,8.06,10.2,100,100,100,4/20/2006,9/27/2006,
2896,52581,,,1981,"584907","Medical Graphics Corp","Angeion Corp","Completed","ANGN","MGCC","ANGN","MGCC","03462H",925898020,1999,9,23997,23997,1,1999,9,2.15,1.688,1.438,1.563,100,100,100,9/23/1999,12/21/1999,
2959,12058,,,1982,"62545K","Multimedia Broadcasting Co","Multimedia Broadcasting Co","Completed","MMEDC","MMEDC","MMEDC","MMEDC","62545K",165775020,1985,5,23825,23825,1,1985,5,54,0,0,0,100,100,100,5/2/1985,9/26/1985,
2991,54827,76234,,1973,"608554","Molex Inc","Koch Industries Inc","Completed",,"MOLX",,"MOLX~MOLX.A~MOLA","49989T",2564516020,2013,9,24165,24165,1,2013,9,38.5,30.72,29.02,29.34,100,100,100,9/9/2013,12/9/2013,
3161,56363,,,1972,"639480","NDCHealth Corp","Investor Group","Completed",,"NDC",,"NDC","46145M",1654414020,2005,8,24068,24068,1,2005,8,19.5,15.35,15.3,15.04,100,100,100,8/29/2005,1/6/2006,
3355,58077,,,1973,"004308","Acceptance Insurance Cos Inc","Reservoir Capital Group LLC","Completed",,"AICIQ",,"AICIQ","76105X",923765020,1999,9,23997,23997,1,1999,9,7,0,0,0,52.4,52.4,52.4,9/27/1999,9/27/1999,
3430,64531,12249,,1972,"743862","Provident Cos","UNUM Corp","Completed","UNM","PVT","UNM","PVT","903192",813450020,1998,11,23987,23987,1,1998,11,35.13,29.188,32.438,33.375,100,100,100,11/23/1998,6/30/1999,
3680,63749,72514,,1980,"741016","Presidio Oil Co","Tom Brown Inc","Completed","TMBR","PRS","TMBR","PRS","115660",470972020,1995,5,23945,23945,1,1995,5,,0.188,0.188,0.188,100,100,100,5/31/1995,12/24/1996,
3683,64291,,,1972,"743080","Production Operators Corp","Camco International Inc","Completed","CAM","PROP","CAM","PROP","132632",644914020,1997,2,23966,23966,1,1997,2,56.23,48.5,49.75,45.75,100,100,100,2/27/1997,6/13/1997,
3811,61620,,,1973,"756231","Recognition International Inc","BancTec Inc","Completed","BTEC","REC","BTEC","REC","059784",469080020,1995,5,23945,23945,1,1995,5,10.4,6.875,7,7,100,100,100,5/19/1995,10/12/1995,
3835,66799,,,1973,"761695","The Reynolds & Reynolds Co","Universal Computer Systems Inc","Completed",,"REY",,"REY","90492W",1783159020,2006,8,24080,24080,1,2006,8,40,30.48,35.03,35.08,100,100,100,8/8/2006,10/26/2006,
3849,66967,,,1972,"766570","Riggs Natl Corp,Washington,DC","PNC Finl Svcs Grp Inc","Completed","PNC","RIGS","PNC","RIGS","693475",1587346020,2004,7,24055,24055,1,2004,7,20,20.73,20.75,22.67,100,100,100,7/16/2004,5/13/2005,
3961,68401,,,1972,"786327","William H Sadlier Inc","Cauldron Group Inc","Completed",,"SADL",,"SADL","14945A",2084088020,2009,6,24114,24114,1,2009,6,,21.22,26,26,100,100,50,6/19/2009,11/10/2009,
4057,69682,,,1973,"812744","Seaway Food Town Inc","Spartan Stores Inc","Completed","SPTN","SEWY","SPTN","SEWY","846822",995747020,2000,4,24004,24004,1,2000,4,16.18,23.375,17,16,100,100,100,4/7/2000,8/1/2000,
4121,57963,,,1972,"867830","Sunshine Jr Stores Inc","E-Z Serve Corp","Completed","EZS","SJS","EZS","SJS","269329",412065020,1995,6,23946,23946,1,1995,6,12,7.75,6.625,7.5,100,100,100,6/16/1995,8/1/1995,
4159,70790,,,1973,"829060","Simpson Industries Inc","Heartland Industrial Partners","Completed",,"SMPS",,"SMPS","42212J",1051987020,2000,9,24009,24009,1,2000,9,13,9.75,10.25,10.125,100,100,100,9/29/2000,12/15/2000,
4161,72486,,,1973,"853626","Standard Microsystems Corp","Microchip Technology Inc","Completed","MCHP","SMSC","MCHP","SMSC","595017",2410769020,2012,5,24149,24149,1,2012,5,37,24.7,26.32,26.24,100,100,100,5/2/2012,8/2/2012,
4297,73083,,,1972,"863200","Strawbridge & Clothier","May Department Stores Co","Completed","MAY","STRWA","MAY","STRWA","577778",514478020,1996,4,23956,23956,1,1996,4,,18.5,16.5,15,100,100,100,4/5/1996,8/28/1996,
4329,68938,,,1972,"804795","Savannah Foods & Industries","Imperial Holly Corp","Completed","IHK","SFI","IHK","SFI","452835",691343020,1997,8,23972,23972,1,1997,8,20.25,17.25,17.625,18.688,100,100,100,8/26/1997,12/22/1997,
4492,57067,75524,,1973,"640376","Thomas Nelson Inc","Intermedia Partners VII LP","Completed",,"TNM",,"TNM~TNM.B~TNMB","46340T",1737043020,2006,2,24074,24074,1,2006,2,29.85,27.12,24.26,24.66,100,100,100,2/21/2006,6/12/2006,
4492,57067,75524,,1973,"640376","Thomas Nelson Inc","HarperCollins Publishers LLC","Completed",,,,,"41336U",2358257020,2011,10,24142,24142,1,2011,10,,,,,100,100,100,10/31/2011,7/11/2012,
4551,60003,,,1972,"050839","Audits & Surveys Worldwide Inc","Audits & Surveys Worldwide Inc","Completed","ASW","ASW","ASW","ASW","050839",458546020,1995,3,23943,23943,1,1995,3,,3.5,3.8125,3.875,80.15,80.2,80.2,3/24/1995,3/24/1995,
4551,60003,,,1972,"050839","Audits & Surveys Worldwide Inc","United Information Group","Completed",,"ASW",,"ASW","91072Y",843969020,1999,1,23989,23989,1,1999,1,3.24,2.5,2.375,2.438,100,100,100,1/19/1999,3/24/1999,
4877,83417,,,1981,"978160","Wometco Cable TV Inc","BT Cable Corp","Completed",,"N/A",,"N/A","055764",107552020,1986,10,23842,23842,1,1986,10,,0,0,0,100,100,100,10/21/1986,12/23/1986,
4883,83433,,,1973,"979438","Woodhead Industries Inc","Molex Inc","Completed","MOLX","WDHD","MOLX~MOLX.A~MOLA","WDHD","608554",1773766020,2006,6,24078,24078,1,2006,6,19.25,17.01,16.52,16.59,100,100,100,6/30/2006,8/7/2006,
4958,57648,,,1972,"939339","Washington National Corp","Conseco Inc","Completed","CNO","WNT","CNO","WNT","208464",696605020,1997,9,23973,23973,1,1997,9,33.25,29.625,31.938,32.375,100,100,100,9/22/1997,12/5/1997,
5223,65509,,,1981,"080555","Belo Corp","Gannett Co Inc","Completed","GCI","BLC","GCI","BLC","364730",2529718020,2013,6,24162,24162,1,2013,6,13.75,11.38,11.25,10.73,100,100,100,6/13/2013,12/23/2013,
5291,74895,,,1982,"872293","TCI International Inc","Dielectric Communications","Completed",,"TCII",,"TCII","25366Y",1086246020,2001,1,24013,24013,1,2001,1,11.25,9.438,10.125,10,100,100,100,1/26/2001,3/23/2001,
5794,40361,,,1982,"401791","Guilford Industries Inc","Debron Investments PLC","Completed",,"GILD",,"GILD","242767",23214020,1986,11,23843,23843,1,1986,11,17.25,13.5,14.5,15.5,97.86,97.9,100,11/17/1986,12/31/1986,
